TITLE	AUTHOR(s)	"TRANSLATOR(s), EDITOR(s), etc."	SUBJECT	STATUS	DATE	ISBN
A History of Philosophy	"Fuller, B.A.G."	N/A	Philosophy	Partial	2025 October	N/A
Pornografia	"Gombrowicz, Witold"	trans. Borchardt; fore. Lipsyte	Literature; Polish	Partial	2024	9780802145130
Black Like Me	"Griffin, John Howard"	after. Bonazzi	Biography	None	2024 December	9780451234216
The Federalist Papers	"Hamilton, Madison, Jay"	ed. Rossiter; intro. Kesler	Philosophy; Politics	Partial	2025 November	9780451528816
The Good Solider Svejk	"Hasek, Jaroslav"	trans. Parrott	Literature	None	2023	9780062835444
The Power of the Powerless	"Havel, Vaclav"	trans. Wilson; intro. Snyder	Philosophy; Politics	Partial	2025 November	9781784875046
Basic Writings	"Heidegger, Martin"	ed. Krell; fore. Carman	Philosophy	None	2024 December	9780061627019
Being and Time	"Heidegger, Martin"	trans. Macquarrie and Robinson; fore. Carman	Philosophy; Metaphysics	None	2024 December	978006157594
"Language, Thought, and Culture"	Henle; Various	ed. Henle	Philosophy	Partial	2024 December	N/A
The Odyssey	Homer	trans. Palmer	Literature; Poetry	None	2023	9780486406541
An Enquiry Concerning Human Understanding	"Hume, David"	ed. Steinberg	Philosophy; Mind	Partial	2025 August	9780872202290
Incidents in the Life of a Slave Girl	"Jacobs, Harriet"	N/A	Biography	Partial	2024 August	9780486419312
The Jefferson Bible	"Jefferson, Thomas"	intro. Church; after. Pelikan	Religious Primary	Partial	2025	9780807077011
Psycho-Academic Holocaust; The Special Education & ADHD Wars Against Black Boys	"Johnson, Umar"	N/A	History	None	2025	9780988711600
Man and His Symbols	"Jung, Carl G.; Various"	ed. Jung	Philosophy; Mind	Partial	2025 August	9780593499993
Industrial Society and Its Future	"Kaczynski, Theodore John"	N/A	Philosophy; Politics	Complete	2023	9780994790149
Prolegomena to Any Future Metaphysics	"Kant, Immanuel"	trans. Carus; rev. Ellington	Philosophy; Metaphysics	None	2024	9780872205932
Without Guilt and Justice; From Decidophobia to Autonomy	"Kaufmann, Walter"	N/A	Philosophy; Ethics	None	2024 December	N/A
The C Programming Language	Kernighan and Ritchie	N/A	Technical	Complete	2020	9780131103627
Either/Or (vol. 1)	"Kierkegaard, Soren"	"trans. Swenson(s); rev. Johnson, H.A."	Religion; Theology	Partial	2025 October	9780691019762
"Either/Or (vols. 1, 2, abridged)"	"Kierkegaard, Soren"	trans. Hannay	Religion; Theology	Partial	2023	9780140445770
Fear & Trembling	"Kierkegaard, Soren"	trans. Hannay	Religion; Theology	Partial	2023	9780143037576
On Authority and Revelation	"Kierkegaard, Soren"	trans. Lowrie; intro. Sontag	Religion; Theology	Partial	2025 October	N/A
Modernity on Endless Trial	"Ko?akowski, Leszek"	pub. University of Chicago (various translations)	Philosophy	Partial	2025	9780226450465
The Polish Complex	"Konwicki, Tadeusz"	trans. Lourie	Literature; Polish	Partial	2024	9781564782014
Life is Elsewhere	"Kundera, Milan"	trans. Asher	Literature	None	2025 October	9780060997021
From Socrates to Sartre: The Philosophic Quest	"Lavine, T.Z."	N/A	Philosophy	Partial	2024	9780553251616
Discourse on Metaphysics and Other Essays (+ others)	"Leibniz, G.W."	trans. Garber and Ariew	Philosophy; Metaphysics	Partial	2025 August	9780872201323
Deconstructive Criticism; An Advanced Introduction	"Leitch, Vincent B."	N/A	Philosophy; Postmodern	Partial	2025 August	9780231054734
Mere Christianity	"Lewis, C.S."	N/A	Religion; Theology	Partial	2024	9780060652920
An Essay Concerning Human Understanding (abridged)	"Locke, John"	ed. Winkler	Philosophy; Mind	Partial	2025 August	9780872202160
The Postmodern Condition: A Report on Knowledge	"Lyotard, Jean-Francois"	trans. Bennington and Massumi; fore. Jameson	Philosophy; Postmodern	Partial	2024 December	9780816611737
The Philosophy of Redemption	"Mainlander, Philipp"	trans. Romuss	Philosophy; Metaphysics	Partial	2025	9780645498073
Death in Venice	"Mann, Thomas"	trans. Burke	Literature	None	2026 January	9788808327931
The Enchantments of Mammon; How Capitalism Became the Religion of Modernity	"McCarraher, Eugene"	N/A	Religion; Theology	None	2023	9780674271098
Studying Religion; An Introduction	"McCutcheon, Russel T."	N/A	Religion; Textbook	None	2026 January	9781032469119
The Essential Writings of Christian Mysticism	McGinn; Various	ed. McGinn	Religion; Theology	Partial	2025 October	9780812974218
Byzantine Theology; Historical Trends & Doctrinal Themes	"Meyendorff, John"	N/A	Religion; Theology	Partial	2024	9780823209675
Pan Tadeusz	"Mickiewicz, Adam"	trans. Mackenzie	Literature; Polish	None	2023	9780781800334
Sexual Politics	"Millett, Kate"	N/A	Philosophy; Sex	Partial	2025 August	9780380007754
The Land of Ulro	"Mi?osz, Czes?aw"	trans. Iribarne	Criticism	Partial	2025 November	9780374519374
Paradise Lost	"Milton, John"	ed. Leonard	Literature; Poetry	Partial	2022	9780140424393
Confessions of a Mask	"Mishima, Yukio"	trans. Weatherby	Literature; Japanese	None	2025 November	9780811201186
Five Modern No Plays	"Mishima, Yukio"	trans. Keene	Literature; Japanese	Partial	2025 October	9780307473110
Forbidden Colors	"Mishima, Yukio"	trans. Marks	Literature; Japanese	Complete	2023	9780375705168
Life for Sale	"Mishima, Yukio"	trans. Dodd	Literature; Japanese	Complete	2025	9780525565147
Runaway Horses	"Mishima, Yukio"	trans. Gallagher	Literature; Japanese	Complete	2024	9780679722403
Spring Snow	"Mishima, Yukio"	trans. Gallagher	Literature; Japanese	Complete	2024	9780679722410
Sun and Steel	"Mishima, Yukio"	trans. Stewart	Literature; Japanese	None	2025 December	9786159424645
The Decay of the Angel	"Mishima, Yukio"	trans. Seidensticker	Literature; Japanese	None	2025	9780679722432
The Sailor who Fell From Grace with the Sea	"Mishima, Yukio"	trans. Nathan	Literature; Japanese	Complete	2024 December	9780679750154
The Sound of Waves	"Mishima, Yukio"	trans. Weatherby	Literature; Japanese	Complete	2025 October	9780679752684
The Temple of Dawn	"Mishima, Yukio"	trans. Saunders and Seigle	Literature; Japanese	Partial	2025	9780679722427
The Temple of the Golden Pavilion	"Mishima, Yukio"	trans. Morris	Literature; Japanese	None	2025 December	9780679752707
The Book of Mormon; Another Testament of Jesus Christ	Mormon	"trans. Smith, Joseph"	Religious Primary	Partial	2023	N/A
Nietzsche: Life as Literature	"Nehamas, Alexander"	N/A	Philosophy	None	2024 December	9780674624262
Basic Writings of Nietzsche	"Nietzsche, Friedrich"	ed. Kaufmann; intro. Gay	Philosophy	None	2024 December	9780679783393
Basic Writings of Nietzsche	"Nietzsche, Friedrich"	ed. Kaufmann	Philosophy	Partial	2022	9780679783398
On the Genealogy of Morals	"Nietzsche, Friedrich"	trans. Smith	Philosophy; Ethics	Complete	2023	9780199537082
The Portable Nietzsche	"Nietzsche, Friedrich"	ed. Kaufmann	Philosophy	None	2024 December	9780140150629
Thus Spoke Zarathustra	"Nietzsche, Friedrich"	trans. Kaufmann	Philosophy	None	2024	9780140047486
Thus Spoke Zarathustra	"Nietzsche, Friedrich"	trans. Parkes	Philosophy	None	2024 December	9780199537099
The Precipice; Existential Risk and the Future of Humanity	"Ord, Toby"	N/A	History	None	2024 December	9780316484923
Socialist Reconstruction; A Better Future for the United States	Party for Socialism and Liberation	N/A	Philosophy; Politics	None	2023	9780991030392
A Brief History of Equality	"Piketty, Thomas"	trans. Rendall	Philosophy; Ethics	None	2024 December	9780674273559
"Euthyphro, Apology, Crito, Meno, Phaedo"	Plato	trans. Grube; rev. Cooper	Philosophy	Partial	2024 August	9780872206335
Laches and Charmides	Plato	trans. Sprague	Philosophy; Ethics	Partial	2025 August	9780872201347
Phaedrus	Plato	trans. Hamilton	Philosophy	Partial	2024 December	9780146001796
Republic	Plato	trans. Jowett	Philosophy; Mind	Partial	2023 July	9780140455113
Republic	Plato	trans. Lee; intro. Lane	Philosophy; Mind	Partial	2024 August	9780486411217
Republic	Plato	trans. Grube; rev. Reeve	Philosophy; Mind	Partial	2025 August	9780872201361
The Symposium	Plato	trans. Gill	Philosophy; Sex	Partial	2024 October	9780140449273
Orthodox Dogmatic Theology	"Pomazansky, Michael"	trans. Rose	Religion; Theology	Partial	2024	9780938635697
Elements of Theology	Proclus	trans. Taylor	Religion; Theology	Partial	2022	9781546304630
What is Property?	"Proudhon, Pierre-Joseph"	trans. Kelley and Smith	Philosophy; Politics	Partial	2025	9780521405560
Close Range; Wyoming Stories 1	"Proulx, Annie"	N/A	Literature	Partial	2025 August	9780684852225
Violence & Society	"Ray, Larry"	N/A	Sociology	Partial	2026 February	9781473907911
A Dangerous Place	"Reisner, Marc"	N/A	History	None	2025 August	9780142003831
Cadillac Desert; The American West and its Disappearing Water	"Reisner, Marc"	ps. Lawrie Mott	History	Complete	2022	9780140178241
Nihilism; The Root of the Revolution of the Modern Age	"Rose, Seraphim"	N/A	Religion; Theology	Partial	2024	9781887904063
Orthodoxy and the Religion of the Future	"Rose, Seraphim"	N/A	Religion; Theology	Partial	2024	978188790400X
The Soul After Death	"Rose, Seraphim"	N/A	Religion; Theology	None	2024	978093863514X
"If Not, Winter"	Sappho	trans. Carson	Literature; Poetry	Complete	2025 August	9780375724510
Nausea	"Sartre, Jean-Paul"	trans. Alexander	Literature	None	2025 August	9780811201880
The Life and Death of Yukio Mishima	"Scott-Stokes, Henry"	N/A	Biography	Complete	2025 November	9780815410744
On the Shortness of Life	Seneca	trans. Costa	Philosophy; Ethics	Partial	2024 December	9780143036326
"Symphony no. 13, ""Babi Yar"" (Score)"	"Shostakovich, Dmitri"	N/A	Score	Partial	2023	9784118918136
Religions of the World	Smith and Ramey	N/A	Religion; Textbook	Partial	2025 August	9781800503762
"The Reconstruction of Nations; Poland, Ukraine, Lithuania, Belarus, 1569-1999"	"Snyder, Timothy"	N/A	History	Complete	2025 July	9780300105865
The First Circle	"Solzhenitsyn, Aleksandr"	trans. Whitney	Literature; Russian	Partial	2024	N/A
The Gulag Archipelago (abridged)	"Solzhenitsyn, Aleksandr"	fore. Applebaum	History	Complete	2022 January	9780061253805
Illness as Metaphor	"Sontag, Susan"	N/A	Philosophy; Language	None	2025 August	9780394728440
Kokoro	"Soseki, Natsume"	trans. McKinney	Literature; Japanese	None	2025 December	9780143106036
Ethics; Proved in Geometrical Order	"Spinoza, Baruch"	trans. Silverthorne and Kisner; ed. Kisner	Philosophy; Ethics	Partial	2025 August	9781107655638
On the Problem of Empathy	"Stein, Edith"	"trans. Stein, Waltraut"	Philosophy; Ethics	Partial	2025 July	9780935216110
The Unique and Its Property	"Stirner, Max"	"trans. Landstreicher, Wolfi"	Philosophy	Partial	2025 December	9781943687909
The Existence of God	"Swinburne, Richard"	N/A	Religion; Theology	Partial	2024	9780199271689
Christianity and the State	"Temple, William"	N/A	Religion; Theology	Partial	2023	N/A
The Poetics of Prose	"Todorov, Tzvetan"	trans. Howard; fore. Culler	Philosophy; Structure	Partial	2025 August	9780801491657
Marriage and Virginity according to St. John Chrysostom	"Trenham, Josiah B."	N/A	Religion; Theology	None	2024	9781887904308
Rock and Sand	"Trenham, Josiah B."	N/A	Religion; Theology	Partial	2024	9781939028501
Four Essays on Philosophy	"Tse-Tung, Mao"	pub. Foreign Languages Press (China)	Philosophy	None	2025 August	N/A
Woman Running in the Mountains	"Tsushima, Yuko"	trans. Harcourt; intro. Groff	Literature; Japanese	Complete	2025 December	9781681375977
Exquisite Nothingness; The Novels of Yukio Mishima	"Vernon, David"	N/A	Criticism	Partial	2025 September	9781739136130
Project Hail Mary	"Weir, Andy"	N/A	Literature	None	2024 December	9780593135228
The American Evasion of Philosophy	"West, Cornel"	N/A	Philosophy; Politics	None	2024 December	9780299119645
The Ethical Dimensions of Marxist Thought	"West, Cornel"	N/A	Philosophy; Ethics	None	2024 December	9780853458180
Process and Reality	"Whitehead, Alfred N."	ed. Griffin and Sherburne	Philosophy; Metaphysics	None	2024	9780029345702
The Blue and Brown Books	"Wittgenstein, Ludwig"	N/A	Philosophy; Language	Partial	2024 December	N/A
Wittgenstein in Cambridge; Letters and Documents 1911-1951	"Wittgenstein, Ludwig"	"ed. McGuinness, Brian"	Biography	None	2024 December	9781444350890
The Acting Person	"Wojty?a, Karol"	"trans. Potocki; ed, Tymieniecka"	Religion; Theology	Partial	2023	9789027709858
The Autobiography of Malcolm X	"X, Malcolm"	transc. Haley	Biography	Complete	2021	9780345350688
